,Unnamed: 0, ,vid_num,Scanner,fluid_types,img_path,lbl_path,case_id
0,0,0,1,Cirrus,[0],img/train/TRAIN001/0.png,masks/train/TRAIN001/0.png,0
1,1,1,1,Cirrus,[0],img/train/TRAIN001/1.png,masks/train/TRAIN001/1.png,0
2,2,2,1,Cirrus,[0],img/train/TRAIN001/10.png,masks/train/TRAIN001/10.png,0
3,3,3,1,Cirrus,[0 1],img/train/TRAIN001/100.png,masks/train/TRAIN001/100.png,1
4,4,4,1,Cirrus,[0 1],img/train/TRAIN001/101.png,masks/train/TRAIN001/101.png,1
5,5,5,1,Cirrus,[0 1],img/train/TRAIN001/102.png,masks/train/TRAIN001/102.png,1
6,6,6,1,Cirrus,[0 1],img/train/TRAIN001/103.png,masks/train/TRAIN001/103.png,1
7,7,7,1,Cirrus,[0 1],img/train/TRAIN001/104.png,masks/train/TRAIN001/104.png,1
8,8,8,1,Cirrus,[0 1],img/train/TRAIN001/105.png,masks/train/TRAIN001/105.png,1
9,9,9,1,Cirrus,[0],img/train/TRAIN001/106.png,masks/train/TRAIN001/106.png,0
10,10,10,1,Cirrus,[0],img/train/TRAIN001/107.png,masks/train/TRAIN001/107.png,0
11,11,11,1,Cirrus,[0],img/train/TRAIN001/108.png,masks/train/TRAIN001/108.png,0
12,12,12,1,Cirrus,[0],img/train/TRAIN001/109.png,masks/train/TRAIN001/109.png,0
13,13,13,1,Cirrus,[0],img/train/TRAIN001/11.png,masks/train/TRAIN001/11.png,0
14,14,14,1,Cirrus,[0],img/train/TRAIN001/110.png,masks/train/TRAIN001/110.png,0
15,15,15,1,Cirrus,[0],img/train/TRAIN001/111.png,masks/train/TRAIN001/111.png,0
16,16,16,1,Cirrus,[0],img/train/TRAIN001/112.png,masks/train/TRAIN001/112.png,0
17,17,17,1,Cirrus,[0],img/train/TRAIN001/113.png,masks/train/TRAIN001/113.png,0
18,18,18,1,Cirrus,[0],img/train/TRAIN001/114.png,masks/train/TRAIN001/114.png,0
19,19,19,1,Cirrus,[0],img/train/TRAIN001/115.png,masks/train/TRAIN001/115.png,0
20,20,20,1,Cirrus,[0],img/train/TRAIN001/116.png,masks/train/TRAIN001/116.png,0
21,21,21,1,Cirrus,[0],img/train/TRAIN001/117.png,masks/train/TRAIN001/117.png,0
22,22,22,1,Cirrus,[0],img/train/TRAIN001/118.png,masks/train/TRAIN001/118.png,0
23,23,23,1,Cirrus,[0],img/train/TRAIN001/119.png,masks/train/TRAIN001/119.png,0
24,24,24,1,Cirrus,[0],img/train/TRAIN001/12.png,masks/train/TRAIN001/12.png,0
25,25,25,1,Cirrus,[0],img/train/TRAIN001/120.png,masks/train/TRAIN001/120.png,0
26,26,26,1,Cirrus,[0],img/train/TRAIN001/121.png,masks/train/TRAIN001/121.png,0
27,27,27,1,Cirrus,[0],img/train/TRAIN001/122.png,masks/train/TRAIN001/122.png,0
28,28,28,1,Cirrus,[0],img/train/TRAIN001/123.png,masks/train/TRAIN001/123.png,0
29,29,29,1,Cirrus,[0],img/train/TRAIN001/124.png,masks/train/TRAIN001/124.png,0
30,30,30,1,Cirrus,[0],img/train/TRAIN001/125.png,masks/train/TRAIN001/125.png,0
31,31,31,1,Cirrus,[0],img/train/TRAIN001/126.png,masks/train/TRAIN001/126.png,0
32,32,32,1,Cirrus,[0],img/train/TRAIN001/127.png,masks/train/TRAIN001/127.png,0
33,33,33,1,Cirrus,[0],img/train/TRAIN001/13.png,masks/train/TRAIN001/13.png,0
34,34,34,1,Cirrus,[0],img/train/TRAIN001/14.png,masks/train/TRAIN001/14.png,0
35,35,35,1,Cirrus,[0 1],img/train/TRAIN001/15.png,masks/train/TRAIN001/15.png,1
36,36,36,1,Cirrus,[0 1],img/train/TRAIN001/16.png,masks/train/TRAIN001/16.png,1
37,37,37,1,Cirrus,[0 1],img/train/TRAIN001/17.png,masks/train/TRAIN001/17.png,1
38,38,38,1,Cirrus,[0],img/train/TRAIN001/18.png,masks/train/TRAIN001/18.png,0
39,39,39,1,Cirrus,[0 1],img/train/TRAIN001/19.png,masks/train/TRAIN001/19.png,1
40,40,40,1,Cirrus,[0],img/train/TRAIN001/2.png,masks/train/TRAIN001/2.png,0
41,41,41,1,Cirrus,[0],img/train/TRAIN001/20.png,masks/train/TRAIN001/20.png,0
42,42,42,1,Cirrus,[0],img/train/TRAIN001/21.png,masks/train/TRAIN001/21.png,0
43,43,43,1,Cirrus,[0 1],img/train/TRAIN001/22.png,masks/train/TRAIN001/22.png,1
44,44,44,1,Cirrus,[0 1],img/train/TRAIN001/23.png,masks/train/TRAIN001/23.png,1
